
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

<CurrencyName> #tm_ruble							// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
	<Currency> MoneyRuble1, 	1					// Currency Classname, Currency Money Value
	<Currency> MoneyRuble5, 	5
	<Currency> MoneyRuble10, 	10
	<Currency> MoneyRuble25, 	25
	<Currency> MoneyRuble50, 	50
	<Currency> MoneyRuble100, 	100


<Trader> Consume Trader								// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables							// Category Name
		CaninaBerry,			*,		100,		50	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,			*,		100,		50	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,					*,		100,		50	// Buyvalue -1 means it can not be bought
		Kiwi,					*,		100,		50	// Sellvalue -1 means it can not be selled
	<Category> Fire & Lights
		Chemlight_Blue,			*,		2,		1
		Chemlight_Green,		*,		2,		1
		Chemlight_Red,			*,		2,		1
		Chemlight_White,		*,		2,		1
		Chemlight_Yellow,		*,		2,		1
		Roadflare,				*,		4,		2
		Matchbox,				*,		6,		3
		Flashlight,				*,		15,		5
		PortableGasLamp,		*,		25,		10
		PortableGasStove,		*,		30,		15
		Headtorch_Black,		*,		40,		20
		Headtorch_Grey,			*,		40,		20
		Spotlight,				*,		600,	200
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,	*,		5,		2
		Pot,					M,		25,		10
		Tripod,					*,		35,		15

	<Category> BaseBuildingPlus
		BBP_Land_Claim_FlagKit,							*,		7500,		2500
		BBP_Blueprint,									*,		500,		50
		BBP_Workbench,									*,		150,		75

	<Category> BaseBuildingPlus Kits
		BBP_T1_WallKit,									*,		200,		-1
		BBP_T1_Wall_HalfKit,							*,		200,		-1
		BBP_T1_DoorKit,									*,		300,		-1
		BBP_T1_GateKit,									*,		400,		-1
		BBP_T1_WindowKit,								*,		300,		-1
		BBP_T1_RoofKit,									*,		200,		-1
		BBP_T1_FloorKit,								*,		200,		-1
		BBP_T1_Floor_HatchKit,							*,		300,		-1
		BBP_T1_StairKit,								*,		300,		-1
		BBP_T1_RampKit,									*,		300,		-1
		BBP_T1_Ramp_WideKit,							*,		320,		-1
		BBP_T2_WallKit,									*,		400,		-1
		BBP_T2_Wall_HalfKit,							*,		400,		-1
		BBP_T2_DoorKit,									*,		600,		-1
		BBP_T2_GateKit,									*,		800,		-1
		BBP_T2_RoofKit,									*,		400,		-1
		BBP_T2_FloorKit,								*,		400,		-1
		BBP_T1_FoundationKit,							*,		300,		-1
		BBP_T2_FoundationKit,							*,		600,		-1
		BBP_T2_WindowKit,								*,		600,		-1
		BBP_T1_Roof_HatchKit,							*,		300,		-1
		BBP_T2_Roof_HatchKit,							*,		600,		-1
		BBP_T2_StairKit,								*,		600,		-1

	<Category> BaseBuildingPlus Storage and decoration
		BBP_Cement,										*,		-1,			15000
		BBP_Mortar_Mix,									*,		-1,			15000
		BBP_Wood_Storage,								*,		1000,		500
		BBP_Old_Lamp,									*,		600,		300
		BBP_Floor_Lamp,									*,		800,		400
		BBP_Sun_Shade,									*,		600,		300
		BBP_Tape_Measure,								*,		20,			10
		BBP_Painting,									*,		200,		100
		BBP_Painting_1,									*,		200,		100
		BBP_Painting_2,									*,		200,		100
		BBP_Xmas_Tree,									*,		400,		200
		BBP_MagnetBox,									*,		100,		50
		BBP_Golf,										*,		80,			40
		BBP_Gang_Plug,									*,		800,		400
		BBP_Solar_PanelKit,								*,		6000,		3000
		BBP_Carpet,										*,		200,		100
		BBP_Wallpaper,									*,		200,		100
		BBP_BedKit,										*,		800,		400
		BBP_Bedding,									*,		120,		60
		BBP_Plaster,									*,		200,		100
		BBP_Bucket,										*,		10000,		5000
		BBP_WellKit,									*,		10100,		5050
		BBP_Wheelbarrow,								*,		400,		200
		BBP_SofaKit,									*,		800,		400
		BBP_Dance_FloorKit,								*,		400,		200
		BBP_XmasLights_9v,								*,		80,			40
		BBP_XmasLights_Solar,							*,		120,		60

	<Category> BaseBuildingPlus Letters
		BBP_Letter_Large_A,								*,		100,		50
		BBP_Letter_Large_B,								*,		100,		50
		BBP_Letter_Large_C,								*,		100,		50
		BBP_Letter_Large_D,								*,		100,		50
		BBP_Letter_Large_E,								*,		100,		50
		BBP_Letter_Large_F,								*,		100,		50
		BBP_Letter_Large_G,								*,		100,		50
		BBP_Letter_Large_H,								*,		100,		50
		BBP_Letter_Large_I,								*,		100,		50
		BBP_Letter_Large_J,								*,		100,		50
		BBP_Letter_Large_K,								*,		100,		50
		BBP_Letter_Large_L,								*,		100,		50
		BBP_Letter_Large_M,								*,		100,		50
		BBP_Letter_Large_N,								*,		100,		50
		BBP_Letter_Large_O,								*,		100,		50
		BBP_Letter_Large_P,								*,		100,		50
		BBP_Letter_Large_Q,								*,		100,		50
		BBP_Letter_Large_R,								*,		100,		50
		BBP_Letter_Large_S,								*,		100,		50
		BBP_Letter_Large_T,								*,		100,		50
		BBP_Letter_Large_U,								*,		100,		50
		BBP_Letter_Large_V,								*,		100,		50
		BBP_Letter_Large_W,								*,		100,		50
		BBP_Letter_Large_X,								*,		100,		50
		BBP_Letter_Large_Y,								*,		100,		50
		BBP_Letter_Large_Z,								*,		100,		50

	<Category> Hardware Supplies
		Pen_Blue,				*,		2,		1
		Rope,					*,		4,		1
		TannedLeather,			*,		4,		1
		AntiPestsSpray,			*,		8,		4
		MetalWire,				*,		15,		6
		EpoxyPutty,				*,		15,		6
		DuctTape,				*,		20,		8
		XmasLights,				*,		25,		10
		HandcuffKeys,			*,		35,		12
		Handcuffs,				*,		50,		15
		Netting,				1,		50,		10
		BurlapSack,				*,		50,		10
		WoodenPlank,			10,		1000,		-1
		MetalPlate,				20,		10000,		3000
		SmallProtectorCase,		*,		70,		30
		AmmoBox,				*,		80,		35
		SmallGasCanister,		*,		80,		35
		MediumGasCanister,		*,		100,	40
		LargeGasCanister,		*,		200,	70
		CanisterGasoline,		*,		300,	80
		NailBox,				*,		5000,	2000
		BarbedWire,				*,		450,	200
		Camonet,				*,		600,	250
		HescoBox,				*,		650,	250
		CombinationLock,		*,		700,	300
		CombinationLock4,		*,		900,	400
		BarrelHoles_Blue,		*,		800,	300
		BarrelHoles_Green,		*,		800,	300
		BarrelHoles_Red,		*,		800,	300
		BarrelHoles_Yellow,		*,		800,	300
		Barrel_Blue,			M,		1500,	350
		Barrel_Green,			M,		1500,	350
		Barrel_Red,				M,		1500,	350
		Barrel_Yellow,			M,		1500,	350
		SeaChest,				*,		2000,	400
		PowerGenerator,			*,		3000,	1000
		MediumTent,				*,		3000,	500	
		PartyTent,				*,		6000,	1000
		PartyTent_Blue,			*,		6000,	1000
		PartyTent_Brown,		*,		6000,	1000
		PartyTent_Lunapark,		*,		6000,	1000
		CarTent,				*,		15000,	6000
		LargeTent,				*,		15000,	6000

	<Category> Storage
		Msp_LargeAmmoBox,										*,		400,		100
		Msp_AmericanAppleCrate,		                    		*,		600,		200
		Msp_AppleCrate,		                    				*,		600,		200
		Msp_PlasticCrate,		                    			*,		600,		200
		Msp_AmmoCrate,		                    				*,		600,		200
		Msp_TackleBox,		                    				*,		600,		200
		Msp_TackleBox_Black,		                    		*,		600,		200
		Msp_CoolerBox,		                    				*,		600,		200
		Msp_CoolerBox_Black,		                    		*,		600,		200
		Msp_GrenadeBox,		                    				*,		1600,		700
		Msp_TreasureChest,		                    			*,		1600,		700
		Msp_MedievalChest,		                    			*,		5000,		2000
		Msp_MilitaryCrate_Brown,		                    	*,		5000,		2000
		Msp_MilitaryCrate_Green,		                    	*,		5000,		2000
		Msp_MilitaryCrate_Grey,		                    		*,		5000,		2000
		Msp_MilitaryCrate_Olive,		                    	*,		5000,		2000
		Msp_MilitaryCrate_Tan,		                    		*,		5000,		2000
	
	<Category> Barrels
		Msp_Barrel_Donation,		                    		*,		2000,		800
		Msp_Barrel_Donation_Ammo,		                    	*,		2000,		800		
		Msp_Barrel_Donation_Guns,		                    	*,		2000,		800
		Msp_Barrel_Donation_Food,		                    	*,		2000,		800
		Msp_Barrel_Donation_Medical,		                    *,		2000,		800
		Msp_Barrel_Donation_BloodONegative,		                *,		2000,		800
		Msp_WaterBarrel_Plastic,		                    	*,		1600,		700
		Msp_WaterBarrel_Plastic_Yellow,		                    *,		1600,		700
		Msp_WaterBarrel_Plastic_Green,		                    *,		1600,		700
		Msp_WaterBarrel_Plastic_Red,		                    *,		1600,		700
		Msp_WaterBarrel_Plastic_Black,		                    *,		1600,		700
		Msp_WaterBarrel_Plastic_White,		                	*,		1600,		700
		Msp_WaterBarrel_Valve_Faucet,		                	*,		100,		40
		Msp_WaterBarrel,		                				*,		1600,		700
		Msp_WaterBarrel_Darkwood,		                		*,		1600,		700
		Msp_WaterBarrel_Stand,		                			*,		100,		50
		Msp_WaterBarrel_Stand_Darkwood,		                	*,		100,		50
		Msp_WaterBarrel_Valve,		                			*,		100,		50
		Msp_WaterBarrel_Valve_Darkwood,		                	*,		100,		50

	<Category> Kits and base items
		Msp_FourDoor_MilitaryLocker_Kit,                        *,      7000,  	3000
        Msp_FourDoor_MilitaryLocker_Green_Kit,                  *,      7000,   3000
		Msp_FireplaceRailing,									*,		600,	200
		Msp_EmptySquarePlanterBox,								*,		600,	200
		Msp_EmptyPlanterBox,									*,		600,	200
		Msp_FishingRodsRack_Kit,								*,		2000,	800	
		Msp_GunCabinet_Kit,										*,		2000,	800	
		Msp_GunRack_Kit,										*,		3000,	1300	
		Msp_DoubleGunRack_Kit,									*,		4000,	1800	
		Msp_MilitaryLocker_Kit,									*,		5000,	2000	
		Msp_Locker_Kit,											*,		5000,	2000
		Msp_SoloLocker_Kit,										*,		5000,	2000
		Msp_SoloLocker_Black_Kit,								*,		5000,	2000
		Msp_SoloLocker_White_Kit,								*,		5000,	2000
		Msp_SoloLocker_Green_Kit,								*,		5000,	2000
		Msp_SoloLocker_Red_Kit,									*,		5000,	2000
		Msp_SoloLocker_RedRusty_Kit,							*,		5000,	2000	
		Msp_SoloLocker_Yellow_Kit,								*,		5000,	2000
		Msp_SoloLocker_YellowRusty_Kit,							*,		5000,	2000
		Msp_OldLocker_Kit,										*,		5000,	2000
		Msp_OldLocker_Green_Kit,								*,		5000,	2000
		Msp_StorageBox_Kit,										*,		5000,	2000	
		Msp_ToolsBench_Blue_Kit,								*,		5000,	2000	
		Msp_ToolsBench_Grey_Kit,								*,		5000,	2000	
		Msp_ToolsBench_Red_Kit,									*,		5000,	2000	
		Msp_MoskvaFridge_Blue_Kit,								*,		3000,	2000	
		Msp_MoskvaFridge_Cream_Kit,								*,		3000,	1000	
		Msp_MoskvaFridge_Red_Kit,								*,		3000,	1000	
		Msp_SovietOkaFridge_Kit,								*,		3000,	1000	
		Msp_SnowballFridge_Kit,									*,		5000,	2000	
		Msp_Gazebo_Kit,											*,		5000,	2000	
		Msp_StoneFireplace_Kit,									*,		5000,	2000
		Msp_Greenhouse_Kit,										*,		5000,	2000	
		Msp_GreenhouseWood_Kit,									*,		5000,	2000	
		Msp_Bookcase_Kit,										*,		5000,	2000	
		Msp_RifleSafe_Kit,										*,		5000,	2000	
		Msp_RifleSafe_Grey_Kit,									*,		5000,	2000	
		Msp_RifleSafe_Green_Kit,								*,		5000,	2000	
		Msp_RifleSafe_Purple_Kit,								*,		5000,	2000	
		Msp_RifleSafe_Tan_Kit,									*,		5000,	2000
		Msp_Safe,												*,		5000,	2000	
		Msp_MedicalBox_Kit,										*,		3000,	1000	
		Msp_Gunwall_Kit,										*,		3500,	1250	
		Msp_Wardrobe_Brown_Kit,									*,		4000,	1000	
		Msp_Wardrobe_Green_Kit,									*,		4000,	1000	
		Msp_Wardrobe_White_Kit,									*,		4000,	1000
		Msp_WoodenTable_Kit,									*,		2500,	800
		Msp_BeachChair_Kit,										*,		1000,	500
		Msp_TrashCan,											*,		5000,	2000
		Msp_Shelf_Kit,											*,		2500,	1000

	<Category> Seeds & Lime
		TomatoSeedsPack,		*,		4, 		1
		PepperSeedsPack,		*,		4, 		1
		ZucchiniSeedsPack,		*,		6, 		2
		PumpkinSeedsPack,		*,		10, 	3
		GardenLime,				*,		20,		7
		
	<Category> Fluffy Pets
		Bear_Beige,				*,		5,		1
		Bear_Dark,				*,		5,		1
		Bear_Pink,				*,		5,		1
		Bear_White,				*,		5,		1

		
<Trader> Weapon Trader
	<Category> Melee	
		BrassKnuckles_Shiny,	W,		500,		200
		StunBaton,				W,		500,		200
		Pipe,					W,		500,		200
		CattleProd,				W,		500,		200
		BaseballBat,			W,		500,		200
		NailedBaseballBat,		W,		700,		300
		Msp_VorpalKnife,		W,      200,	   	100
		Msp_GoodNightBat,		W,      600,    	250
		Msp_BeanBasher,			W,      600,    	250
		Msp_PipeAxe,			W,      600,    	250
		Msp_PlainBat,			W,      600,    	250
		Msp_PlainBat_Blue,		W,      600,    	250
		Msp_PlainBat_Black,		W,      600,    	250
		Msp_BlunderBat,			W,      600,    	250
		Msp_BassAxe,			W,      600,    	250
		
	<Category> Sidearms
		MakarovIJ70,			W,		1000,	200
		CZ75,					W,		1200,	250
		FNX45,					W,		1300,	350
		Glock19,				W,		1200,	250
		MKII,					W,		1000,	200
		Colt1911,				W,		1000,	200
		Engraved1911,			W,		1000,	200
		Magnum,					W,		1400,	400
		Deagle,					W,		1500,	500
		Deagle_Gold,			W,		-1,		5000
		
	<Category> Rifles
		Izh18,					W,		3500,	750
		Mosin9130,				W,		6000,	1250
		CZ527,					W,		4000,	750
		Winchester70,			W,		5500,	1000
		SKS,					W,		4000,	750
		MassSVT40,				*,		8000,	1750
		VSS,					W,		4500,	1000
		B95,					W,		5500,	1000
		MassM19,				W,		2000,	400
		MassM19_Wood,			W,		2000,	400
		Repeater,				W,		3000,	500
		
	<Category> Shotguns
		Mp133Shotgun,			W,		3000,	500
		Izh43Shotgun,			W,		3000,	500
		Saiga,					W,		5000,	1000
		Rev_Spas12,				W,		4000,	750
		MassMP153,				W,		3000,	500
		MassTMP153,				W,		4000,	750
		
	<Category> Submachine Guns
		CZ61,							W,		2500,	500
		UMP45,							W,		3000,	600
		MP5K,							W,		2700,	550
		AKS74U,							W,		3500,	750
		JebsGuns_KrissVector_Black,		W,		4000,	800
		MassPPSH41,						*,		3000,	600
		MP7,                       		W,      4000,   750
		MassB52,						W,		3500,	750
		
	<Category> Assault Rifles
		AKM,					W,		5000,		1000
		AK101,					W,		5000,		1000
		AK74,					W,		4500,		850
		MassType81,				W,		4750,		900
		M4A1,					W,		5000,		1000
		JebsGuns_MBR_Black,		W,		5500,		1100
		JebsGuns_MBR_Tan,		W,		5500,		1100
		JebsGuns_L85A2_Black,	W,		5500,		1100
		Rev_RPK16_762,	    	W,		5000,		1000
		Rev_RPK16,		  		W,		5000,		1000
		Rev_RPK16_556,			W,		5000,		1000
		Rev_AR15,				W,		5500,		1250
		Rev_ACR_Black,			W,		5500,		1250
		Rev_ACR_Tan,			W,		5500,		1250
		Massmini14,				*,		4000,		750
		M16,                    W,      5500,       1250
		SCAR,                   W,      5000,       1000
		REV_FAMAS,				W,		5000,		1000
		MassAR15,				W,		5000,		1000
		MassAR15DMR,			W,		5000,		1000
		MassAR15DMR_Desert,		W,		5000,		1000
				
	<Category> Grenades
		RGD5Grenade,			1,		300,	100
		M67Grenade,				1,		300,	100
		M18SmokeGrenade_Red,	1,		300,	100
		M18SmokeGrenade_Green,	1,		300,	100
		M18SmokeGrenade_Yellow,	1,		300,	100
		M18SmokeGrenade_Purple,	1,		300,	100
		M18SmokeGrenade_White,	1,		300,	100
		RDG2SmokeGrenade_Black,	1,		300,	100
		RDG2SmokeGrenade_White,	1,		300,	100
		FlashGrenade,			1,		300,	100
		
		
<Trader> Weapon Supplies
	<Category> Ammo x20
		Ammo_380,				*,		100,		50
		Ammo_9x19,				*,		150,		75
		Ammo_22,				*,		50,			25
		Ammo_45ACP,				*,		200,		100
		Ammo_357,				*,		250,		125
		Ammo_12gaPellets,		*,		250,		125
		Ammo_12gaSlug,			*,		250,		125
		Ammo_9x39,				*,		350,		175
		Ammo_9x39AP,			*,		450,		225
		Ammo_308Win,			*,		600,		300
		Ammo_545x39,			*,		450,		225
		Ammo_556x45,			*,		500,		250
		Ammo_762x39,			*,		500,		250
		Ammo_762x54,			*,		650,		325		
		Ammo_556x45Tracer,		*,		500,		250
		Ammo_545x39Tracer,		*,		450,		225
		Ammo_308WinTracer,		*,		600,		300
		Ammo_762x39Tracer,		*,		500,		250
		Ammo_762x54Tracer,		*,		650,		325				
		Ammo_46x30,             *,      400,   		200
        Ammo_8mm,               *,      550,   		275
		Rev_Ammo_68SPC,		    *,		700,		350
		
	<Category> Magazines
		Mag_IJ70_8Rnd,				M,		200,		100
		Mag_CZ75_15Rnd,				M,		200,		100
		Mag_Glock_15Rnd,			M,		200,		100
		Mag_MKII_10Rnd,				M,		200,		100
		Mag_1911_7Rnd,				M,		200,		100
		Mag_FNX45_15Rnd,			M,		200,		100
		Mag_CZ527_5rnd,				M,		200,		100
		Mag_CZ61_20Rnd,				M,		200,		100
		Mag_Deagle_9rnd,			M,		200,		100
		Mag_UMP_25Rnd,				M,		250,		125
		Mag_MP5_30Rnd,				M,		300,		150
		Mag_Saiga_5Rnd,				M,		300,		150
		Mag_Saiga_8Rnd,				M,		400,		200
		Mag_Saiga_Drum20Rnd,		M,		600,		300
		Mag_AKM_30Rnd,				M,		600,		300
		Mag_AKM_Palm30Rnd,			M,		600,		300
		Mag_AKM_Drum75Rnd,			M,		750,		325
		Mag_AK101_30Rnd,			M,		600,		300
		Mag_AK74_30Rnd,				M,		600,		300
		Mag_STANAG_30Rnd,			M,		600,		300
		Mag_STANAGCoupled_30Rnd,	M,		1200,		550
		Mag_CMAG_10Rnd,				M,		400,		200
		Mag_CMAG_20Rnd,				M,		500,		250
		Mag_CMAG_30Rnd,				M,		600,		300
		Mag_CMAG_40Rnd,				M,		700,		350
		Mag_SVD_10Rnd,				M,		800,		400
		Mag_VSS_10Rnd,				M,		700,		350
		Mag_308WinSnaploader_2Rnd,	M,		300,		125

	<Category> Rev Mags
		Rev_Mag_RPK16_75rnd_762,			M,		1200,		200
		Rev_Mag_RPK16_96rnd,				M,		1200,		200
		Rev_Mag_RPK16_96rnd_556,			M,		1200,		200
		Rev_Mag_ACR_30rnd,					M,		700,		200
		Rev_Mag_AK15_30rnd,					M,		700,		200
		Rev_Mag_AK19_30rnd,					M,		700,		200
		JebsGuns_Mag_L85A2_30rnd,			M,		700,		200
		JebsGuns_Mag_KrissVector_30rnd,		M,		700,		200
		REV_Mag_FAMAS_30rnd,				M,		700,		200

	<Category> Rev Attachments
		Rev_AK_Bttstck,						*,		300,	120
		JebsGuns_KrissVector_Suppressor,    *,		500,	200	

	<Category> Mass Magazines
		Mag_Scout_5rnd,					M,		500,	200			
		Massppshdrum,					M,		1300,	600		
		MassSVTmag,						M,		1300,	600
		Mass9x39Palm,					M,		1000,	400

	<Category> Handguards
		MP5_PlasticHndgrd,		*,		100,	50
		MP5_RailHndgrd,			*,		150,	75
		AK74_Hndgrd,			*,		150,	75
		AK_WoodHndgrd,			*,		200,	100
		AK_RailHndgrd,			*,		200,	100
		AK_PlasticHndgrd,		*,		200,	100
		M4_PlasticHndgrd,		*,		150,	75
		M4_RISHndgrd,			*,		200,	100
		M4_MPHndgrd,			*,		200,	100

	<Category> Buttstocks
		MP5k_StockBttstck,		*,		100,	50
		Fal_OeBttstck,			*,		100,	50
		Fal_FoldingBttstck,		*,		150,	75
		Saiga_Bttstck,			*,		150,	75
		AKS74U_Bttstck,			*,		150,	75
		AK74_WoodBttstck,		*,		150,	75
		AK_PlasticBttstck,		*,		100,	50
		AK_WoodBttstck,			*,		150,	75
		AK_FoldingBttstck,		*,		250,	125
		M4_OEBttstck,			*,		150,	75
		M4_CQBBttstck,			*,		150,	75
		M4_MPBttstck,			*,		150,	75

	<Category> Advanced Weapon Scopes
		AD_B13Mount,           					*,      900,    350
		AD_MosinMount,           				*,      900,    350
		AD_ACOG,           						*,      900,    350
		AD_ACOG_MosinMount,           			*,      900,    350
		AD_ACOG_B13,           					*,      900,    350
		AD_ACOG_RMR,           					*,      900,    350
		AD_ACOG_RMR_MosinMount,           		*,      900,    350
		AD_ACOG_RMR_B13,           				*,      900,    350
		AD_DHF5,           						*,      900,    350
		AD_DHF5_MosinMount,           			*,      900,    350
		AD_DHF5_B13,           					*,      900,    350
		AD_MRS,           						*,      900,    350
		AD_MRS_MosinMount,           			*,      900,    350
		AD_MRS_B13,           					*,      900,    350
		AD_NFATACR,           					*,      900,    350
		AD_NFATACR_MosinMount,           		*,      900,    350
		AD_NFATACR_B13,           				*,      900,    350
		AD_NFATACR_1_8,           				*,      900,    350
		AD_NFATACR_1_8_MosinMount,           	*,      900,    350
		AD_NFATACR_1_8_B13,           			*,      900,    350
		AD_OKP7,           						*,      900,    350
		AD_OKP7_MosinMount,           			*,      900,    350
		AD_OKP7_B13,           					*,      900,    350
		AD_Pilad,           					*,      900,    350
		AD_Pilad_MosinMount,           			*,      900,    350
		AD_Pilad_B13,           				*,      900,    350
		AD_PVS4,           						*,      900,    350
		AD_PVS4_MosinMount,           			*,      900,    350
		AD_PVS4_B13,           					*,      900,    350
		AD_RMR,           						*,      900,    350
		AD_RMR_LM,           					*,      900,    350
		AD_RMR_LM_MosinMount,           		*,      900,    350
		AD_RMR_LM_B13,           				*,      900,    350
		AD_RMR_TM,           					*,      900,    350
		AD_RMR_TM_MosinMount,           		*,      900,    350
		AD_RMR_TM_B13,           				*,      900,    350
		AD_SpecterDR,           				*,      900,    350
		AD_SpecterDR_MosinMount,           		*,      900,    350
		AD_SpecterDR_B13,           			*,      900,    350

	<Category> Optics
		M4_CarryHandleOptic,	*,		150,	60
		BUISOptic,				*,		150,	60
		FNP45_MRDSOptic,		*,		250,	100
		ReflexOptic,			*,		250,	100
		ACOGOptic,				*,		300,	120
		M68Optic,				*,		500,	200
		M4_T3NRDSOptic,			*,		500,	200
		KobraOptic,				*,		600,	250
		MassHolo,				*,		600,	250
		MassHolo2,				*,		600,	250
		KashtanOptic,			*,		700,	300
		PUScopeOptic,			*,		900,	500
